Name,Param1,Param2,Param3,Param4,Param5,Param6,Param7,Acid_A,Acid_B,Acid_C,Acid_D,Acid_E,Acid_F,Gly_1,Gly_2,Gly_3,Gly_4,Gly_5,Gly_6,Gly_7,Gly_8,Tage_1,Tage_2,Tage_3,Tage_4,Tage_5,Tage_6,Tage_7,Tage_8,Tage_9,Tage_10
KMD-Z696,21,5.8,0.37,53,63,7700,21200,83,0,0,10,0,7,61,36,0,3,0,0,0,0,2,5,100,,100,4,5,1,1.18,91.755
KMD-Z3-C1,106,6.3,0.47,5,64,7100,13400,45,38,0,10,0,7,61,38,0,1.3,0,0,0,0,2,5,88.5,,100,1.666666667,5,1,1.335,91.92
KMD-Z14-C1,65,6.3,0.354794997,5.017491254,42.8,9400,19200,43,0,40,10,0,7,61,35,0,4,0,0,0,0,5,5,80.5,,100,1,1,1,1.36,92.12
KMD-Z4-C2,77,6.3,0.46,10,42,8100,16600,0,83.1,0,9.9,0,7,61.5,35.6,0,2.9,0,0,0,0,5,5,75,,100,3,2,1,2.28,92.365
KMD-Z5-C2,60,6.6,0.433455124,7.541311968,24.2,11200,24800,0,0,83.1,9.9,0,7,61,36,0,2.8,0,0,0,0,5,1,0.5,,21.5,2,1,1,2.125,92.41
KMD-Z6-C1,15,6.6,0.52,18,16,7600,15400,83,10,0,0,0,7,65,34.1,0,0.9,0,0,0,0,1,5,100,,100,5,5,3,1.435,91.575
KMD-Z7-C1,60,6.3,0.38,15,78,,,83,0,0,10,0,7,61,0,33,6,0,0,0,0,1.5,3,100,,100,5,5,1,1.235,91.605
KMD-Z8-C1,28,6.1,0.35,15,79,,,83.8,0,0,9.2,0,7,70.1,0,0,29.9,0,0,0,0,1.5,3,99,,100,5,5,1,1.24,91.615
KMD-Z9-C1,32,6.3,0.31,5,86,8200,16400,83.4,0,0,9.6,0,7,59.9,0,0,3,37.1,0,0,0,1,2,97.5,,99,5,5,3,1.955,91.75
KMD-Z10-C1,84,6.4,0.39,10,61,6500,12200,83.5,0,0,9.4,0,7,56,0,0,4.4,0,39.6,0,0,1,4,100,,0,5,5,4,2.385,91.64
KMD-Z11-C1,27,6.4,0.36,10,51,8300,16900,83,0,0,10,0,7,59,0,0,7,0,0,34,0,1.5,5,100,,100,4,5,1,1.25,91.715
KMD-Z12-C1,64,5.9,0.43,30,63,9300,18700,83.5,0,0,9,0,7,65.4,0,0,3.4,0,0,0,31.2,1,5,99,,100,4.666666667,5,2,1.46,92.015
KMD-Z13-C1,209,6.6,0.5,5,42,7600,16800,83,0,0,0,10,7,60,29,0,11,0,0,0,0,1.5,4,98.5,,100,4,5,1,1.27,91.715
KMD-Z21-C1,24,5.9,0.41,45,37,8600,24100,83,0,0,10,0,7,37,61,0,2,0,0,0,0,2,5,100,,100,4,5,1,1.395,91.765
KMD-Z592,73,6.2,0.5,10,39,10300,22800,73,0,0,20,0,7,60,38,0,2,0,0,0,0,5,5,100,,100,5,3.666666667,1,1.335,91.885
KMD-Z1-C1,35,6.6,0.320924881,2.506240639,40.4,6500,11900,73.2,0,0,19.8,0,7,63.3,34.5,0,2.2,0,0,0,0,1.5,5,100,,100,2,5,1,1.495,91.77
KMD-Z2-C1,75,6.3,0.409426203,2.507492507,27,7800,15100,66.3,0,0,26.7,0,7,64.9,34.1,0,1,0,0,0,0,3,5,100,,100,2.333333333,1.333333333,1,2.15,91.93
KMD-Z15-C1,30,5.9,0.4,30,46,9100,19600,73,0,0,20,0,7,0,0,63,0,33,4,0,0,2,5,100,,100,2.666666667,5,1,1.325,91.74
KMD-Z16-C1,24,6.3,0.38,10,42,9000,18600,73,0,0,20,0,7,58,0,0,42,0,0,0,0,2,5,99,,100,2,5,1,1.415,91.68
KMD-Z17-C1,94,6.3,0.39,2,62,8700,17200,73,0,0,20,0,7,63,0,0,1,36,0,0,0,2,5,91,,99,4.333333333,5,1,1.13,91.92
KMD-Z18-C1,23,6.2,0.29,8,52,6500,11900,73,0,0,20,0,7,58,0,0,8,0,35,0,0,1.5,5,39,,100,5,5,1,1.29,91.73
KMD-Z19-C1,81,6.7,0.39,2,40,9100,19700,73,0,0,20,0,7,61,0,0,4,0,0,36,0,3,5,100,,100,2,4.333333333,1,1.365,91.855
KMD-Z20-C1,32,6.6,0.42,5,35,12200,30800,73,0,0,20,0,7,57,0,0,4,0,0,0,39,4,5,76,,100,3,4.666666667,1,1.3,92.04
MD1245,85,6,0.6,< 50,60,20000,,0,48,48,0,0,4,80,0,0,20,0,0,0,0,1,4,0.5,3.5,100,3,5,1,1.18,92.195
MD1335,30,7,0.37,< 50,4,8000,,0,49.5,46,0,0,3,0,70,0,30,0,0,0,0,5,3,53.5,5.5,60,2,2,2,3.12,91.945
MD1500,65,5.7,0.33,< 35,77,8000,,0,97.5,0,0,0,2.5,20,0,0,0,0,79.4,0,0,1,2.5,0,0,15.5,4.333333333,5,4.333333333,1.23,92.115
MD1930,30,7,0.76,< 50,-10,20000,,0,56.75,0,0,40.75,2.5,58,0,41,0,0,0,0,0,5,4,2.5,0,6.5,4,4,4,2.265,92.035
MD1985,80,6.3,0.95,< 50,-20,25000,,0,56.7,0,0,39.8,3.5,74,0,23,0,0,0,0,0,5,2.5,1.5,1,71.5,4,4,4,2.36,92.64
MD16,230,5.6,0.394876968,20.16991504,62,13776,25553,0,47,46,0,0,7,50,0,0,0,50,0,0,0,1,1,10,0.5,22.5,4,4.333333333,1,1.09,92.72
